subj,block,goals,perfs,emots
1,1,3,8,1.0
1,2,5,8,1.6666666666666667
1,3,5,8,1.6666666666666667
1,4,5,8,2.0
1,5,5,7,2.0
1,6,6,9,2.0
1,7,6,8,1.6666666666666667
1,8,7,9,1.6666666666666667
1,9,7,8,2.0
1,10,8,10,2.0
1,11,8,9,2.0
1,12,8,10,2.0
1,13,8,12,2.0
1,14,8,11,2.0
1,15,8,9,2.0
1,16,8,10,2.0
1,17,8,11,2.0
1,18,8,8,2.0
1,19,8,11,2.0
1,20,8,12,2.0
2,1,6,8,0.3333333333333333
2,2,6,8,-0.3333333333333333
2,3,6,8,-0.3333333333333333
2,4,6,7,-0.3333333333333333
2,5,6,8,-0.3333333333333333
2,6,6,8,-0.3333333333333333
2,7,6,8,-0.3333333333333333
2,8,7,8,-0.6666666666666666
2,9,6,8,-0.6666666666666666
2,10,6,7,-0.6666666666666666
2,11,6,7,0.0
2,12,6,7,-0.6666666666666666
2,13,6,7,0.3333333333333333
2,14,6,7,-0.6666666666666666
2,15,5,7,0.3333333333333333
2,16,4,4,0.6666666666666666
2,17,4,5,0.6666666666666666
2,18,3,5,0.6666666666666666
2,19,3,4,0.0
2,20,6,6,1.6666666666666667
3,1,5,7,2.6666666666666665
3,2,7,10,2.6666666666666665
3,3,10,11,2.6666666666666665
3,4,11,10,2.333333333333333
3,5,8,11,2.333333333333333
3,6,9,12,2.0
3,7,8,11,2.333333333333333
3,8,9,12,2.333333333333333
3,9,10,12,2.333333333333333
3,10,10,12,2.333333333333333
3,11,11,12,2.0
3,12,10,14,2.0
3,13,11,11,2.333333333333333
3,14,9,12,2.0
3,15,10,11,2.0
3,16,10,12,2.0
3,17,10,13,2.0
3,18,10,11,2.0
3,19,9,12,2.0
3,20,8,9,2.0
4,1,5,3,-0.6666666666666666
4,2,5,5,0.3333333333333333
4,3,6,8,1.0
4,4,10,5,0.0
4,5,10,6,-1.0
4,6,10,7,0.0
4,7,5,6,0.0
4,8,6,8,0.3333333333333333
4,9,6,8,0.3333333333333333
4,10,7,10,0.3333333333333333
4,11,8,9,1.0
4,12,8,11,1.0
4,13,9,8,0.0
4,14,9,8,0.0
4,15,9,10,0.3333333333333333
4,16,10,13,1.0
4,17,13,8,0.0
4,18,13,10,0.0
4,19,10,8,0.0
4,20,10,9,0.0
5,1,7,12,2.6666666666666665
5,2,9,10,2.6666666666666665
5,3,9,9,2.6666666666666665
5,4,9,7,2.6666666666666665
5,5,9,11,2.6666666666666665
5,6,9,10,2.6666666666666665
5,7,9,9,2.6666666666666665
5,8,9,10,2.6666666666666665
5,9,9,8,2.6666666666666665
5,10,9,8,2.0
5,11,8,10,2.6666666666666665
5,12,8,10,2.333333333333333
5,13,8,14,2.6666666666666665
5,14,8,11,2.6666666666666665
5,15,8,13,2.6666666666666665
5,16,8,9,2.333333333333333
5,17,8,11,2.333333333333333
5,18,8,13,2.333333333333333
5,19,8,11,2.6666666666666665
5,20,8,13,2.6666666666666665
6,1,5,8,0.3333333333333333
6,2,6,7,0.3333333333333333
6,3,6,7,0.3333333333333333
6,4,6,9,0.6666666666666666
6,5,7,9,1.0
6,6,7,8,0.6666666666666666
6,7,7,9,0.3333333333333333
6,8,7,9,1.0
6,9,7,8,1.0
6,10,7,10,1.0
6,11,8,9,0.6666666666666666
6,12,7,8,0.6666666666666666
6,13,7,8,0.6666666666666666
6,14,7,8,0.6666666666666666
6,15,7,9,0.6666666666666666
6,16,7,8,0.0
6,17,7,8,0.3333333333333333
6,18,7,7,0.3333333333333333
6,19,6,9,0.3333333333333333
6,20,8,10,0.3333333333333333
7,1,7,11,2.6666666666666665
7,2,9,9,2.6666666666666665
7,3,8,7,2.333333333333333
7,4,7,10,2.6666666666666665
7,5,8,12,2.6666666666666665
7,6,8,18,2.6666666666666665
7,7,10,11,2.6666666666666665
7,8,10,13,2.6666666666666665
7,9,10,15,2.6666666666666665
7,10,12,13,2.6666666666666665
7,11,12,15,2.6666666666666665
7,12,12,11,2.333333333333333
7,13,10,9,2.0
7,14,10,11,2.0
7,15,10,11,2.0
7,16,10,13,2.333333333333333
7,17,12,12,2.0
7,18,12,12,2.333333333333333
7,19,12,11,2.333333333333333
7,20,11,12,2.0
8,1,5,8,2.6666666666666665
8,2,5,6,2.6666666666666665
8,3,5,6,2.6666666666666665
8,4,5,6,2.333333333333333
8,5,5,6,2.333333333333333
8,6,5,9,2.333333333333333
8,7,1,3,2.333333333333333
8,8,1,1,2.333333333333333
8,9,1,1,2.333333333333333
8,10,1,1,2.0
8,11,1,1,1.6666666666666667
8,12,1,1,1.3333333333333333
