step,n.x,alt1,hyp,mine1,mine2,n.y
11,303,-470.2063634502506,-470.95769238616657,-471.01415123918406,-471.80654178319645,303
12,303,-471.2048228235841,-471.3335732805577,-470.52341190069706,-470.3046989302479,303
13,303,-492.66233903651823,-492.3435159503288,-494.30700375279315,-492.7206908439783,303
14,303,-869.7291650304177,-852.4669872309266,-867.6208803028949,-854.0551883925176,303
15,303,-650.1510304495699,-559.0228807654013,-659.9437387181036,-565.0362834358159,303
16,303,-414.60793367493056,-415.6843049469219,-413.68480998730666,-415.1353299079768,303
17,303,-498.72670224678694,-491.65543546020587,-497.3204836635793,-491.8642076409241,303
18,303,-546.71470237764,-543.2279199682149,-546.0083656982104,-545.1343716905119,303
19,303,-518.3010186520381,-524.1089789519879,-517.0792406770724,-518.6046201658885,303
20,303,-625.6872137173157,-629.687474228976,-625.2405245654036,-628.2582521258063,303
21,300,-456.53320686220866,-457.84604220026415,-453.1861429564984,-454.3236048993575,300
22,296,-434.8927598371706,-438.46799827720184,-434.3953140992738,-438.23060513930704,296
23,291,-424.2160298965587,-428.6469259253608,-422.4303057957979,-427.4961224291329,291
24,290,-485.39399011317875,-480.3752716975002,-482.2703293323698,-477.21364503569197,290
25,286,-465.3649664039261,-465.67560962543774,-463.94893442073595,-464.2950756131567,286
26,274,-538.4209050698798,-548.6538553394948,-536.503016801328,-547.0880437786801,274
27,257,-576.1272316141367,-571.5723534953319,-569.860488511944,-569.5004587235829,257
28,245,-612.5340047908844,-608.0331205850774,-610.4853248972258,-603.5668116744125,245
29,218,-352.08984334343455,-350.5291375061457,-349.18334137106444,-348.08498040724703,218
30,162,-306.0971732332136,-306.8782411406348,-303.1024749904181,-303.84036389124003,162
31,75,-153.4291082261064,-153.16171932624115,-152.8170429241827,-152.49449377252128,75
32,49,-106.29104803290491,-106.35457236635281,-104.45569643312473,-104.67345602442433,49
33,26,-76.88553690530702,-76.602758786559,-74.76194443174589,-75.51576138067479,26
34,12,-22.10304832074823,-21.93193399372302,-21.817749424766312,-21.77271982570288,12
35,8,-19.378218581401228,-19.326691590813184,-18.882684890507434,-18.907527240703843,8
36,5,-7.21303111805651,-7.216735605328475,-7.69168405600393,-7.6585636138116975,5
37,1,-0.49757237728704856,-0.50075051970038,-0.4859859590443164,-0.500153082392872,1
38,1,-0.417847414339115,-0.42102139289590446,-0.4100434266691739,-0.41877356208086597,1
