rep,median,lo,hi
1,-0.0818797,-0.14205055000000003,-0.021867312499999982
2,-0.06114525,-0.12241015,-0.002303887499999996
3,-0.0161005,-0.07591748999999999,0.04306086
4,-0.02805605,-0.0845528325,0.030270682500000028
5,-0.05199245,-0.10996615,0.007903780000000003
6,-0.09638905,-0.15363904999999997,-0.036652435
7,-0.0275309,-0.0885910575,0.03048542500000003
8,0.013703449999999999,-0.0437911925,0.07140679
9,-0.0425335,-0.09985207500000001,0.01444924750000002
10,-0.07013035000000001,-0.130054225,-0.010268014999999985
