rep,median,lo,hi,lt_p,lt_p_lo,lt_p_hi,lt_e,lt_e_lo,lt_e_hi
1,-0.05305935,-0.10883945,0.0074409355000000016,0.3338585,0.27284535000000004,0.39277327500000003,-0.009679175,-0.028870145,0.008051810250000001
2,-0.028080550000000003,-0.090066045,0.032099195000000004,0.30506500000000003,0.24162387500000002,0.36742855,-0.0320429,-0.05009008,-0.013944132499999984
3,0.00654787,-0.052714597499999995,0.0683928675,0.236821,0.173617325,0.2984693,-0.011710249999999998,-0.0300495075,0.0063621377500000026
4,0.01925555,-0.0415646525,0.0779906325,0.392733,0.33016130000000005,0.455606225,-0.013406600000000001,-0.0304880875,0.004034106750000002
5,-0.026540750000000002,-0.08245572500000001,0.03184721250000003,0.2816265,0.22178092500000002,0.3424065,-0.0200934,-0.0376718925,-0.0026169489999999965
6,-0.058266899999999996,-0.1202473,-1.2336334249999278e-4,0.293357,0.232650425,0.35303435,-0.03116775,-0.048310177499999996,-0.0132063675
7,0.0118049,-0.049125865,0.07023978250000001,0.320909,0.2613123,0.38316722500000006,-0.022117150000000002,-0.03992727,-0.004464066249999996
8,0.044217450000000005,-0.014367814999999996,0.1023125,0.276793,0.21693215,0.3389959,-0.0162937,-0.034402537500000004,0.0023339092500000037
9,-0.00713273,-0.0622973675,0.04937468,0.30377750000000003,0.2421525,0.36315105000000003,-0.0156069,-0.03420901,0.002752932250000013
10,-0.0448258,-0.104478425,0.0163229775,0.27610100000000004,0.21376455,0.33771462500000005,-0.014238899999999999,-0.031618255000000005,0.0035641800000000023
